ciselnik,ciselnik_kod,ciselnik_nazev,vek_IRI,vek_kod,vek_nazev,vek_od_vcetne,vek_do_vcetne
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66060064,66060064,60–64 let,60.0,64.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66060069,66060069,60–69 let,60.0,69.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66060079,66060079,60–79 let,60.0,79.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66061061,66061061,61 let,61.0,61.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66061065,66061065,61–65 let,61.0,65.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66062062,66062062,62 let,62.0,62.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66063063,66063063,63 let,63.0,63.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66064064,66064064,64 let,64.0,64.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66065065,66065065,65 let,65.0,65.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66065067,66065067,65–67 let,65.0,67.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66065069,66065069,65–69 let,65.0,69.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66065070,66065070,65–70 let,65.0,70.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66065074,66065074,65–74 let,65.0,74.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66065999,66065999,65 let a více,65.0,999.0
